album_type|album_href|album_id|album_name|album_release_date|album_release_date_precision|total_tracks|type|album_uri
compilation|https://api.spotify.com/v1/albums/677TuXexbB6YJsDnaBlkO5|677TuXexbB6YJsDnaBlkO5|Dame Regeton|2020-11-13|day|21|album|spotify:album:677TuXexbB6YJsDnaBlkO5
album|https://api.spotify.com/v1/albums/3PomvFR694SrCSZzDWMWV7|3PomvFR694SrCSZzDWMWV7|Pretty Boy, Dirty Boy|2015-10-30|day|16|album|spotify:album:3PomvFR694SrCSZzDWMWV7
album|https://api.spotify.com/v1/albums/3AXZ4rR8BDq945Q7UxsDVR|3AXZ4rR8BDq945Q7UxsDVR|Tsunami Is Back|2017-02-14|day|11|album|spotify:album:3AXZ4rR8BDq945Q7UxsDVR
album|https://api.spotify.com/v1/albums/1Jgu0dPNH1rpct0lokq5L6|1Jgu0dPNH1rpct0lokq5L6|The Documentary 2.5|2015-10-16|day|18|album|spotify:album:1Jgu0dPNH1rpct0lokq5L6
album|https://api.spotify.com/v1/albums/3LpIwZdzFwc10psLingT8x|3LpIwZdzFwc10psLingT8x|Future Hndrxx Presents: The WIZRD|2019-01-18|day|20|album|spotify:album:3LpIwZdzFwc10psLingT8x
album|https://api.spotify.com/v1/albums/0cHT4ll3sEPyFFWoFuibMl|0cHT4ll3sEPyFFWoFuibMl|New English|2016-06-26|day|14|album|spotify:album:0cHT4ll3sEPyFFWoFuibMl
compilation|https://api.spotify.com/v1/albums/12WhZAzPc6ekGSTWPGEUVp|12WhZAzPc6ekGSTWPGEUVp|"Roc La Familia & Hector Bambino \"EL FATHER\" Present Los Rompe Discotekas"|2006-01-01|day|15|album|spotify:album:12WhZAzPc6ekGSTWPGEUVp
single|https://api.spotify.com/v1/albums/25CfSiH8FAG9802wbdftH4|25CfSiH8FAG9802wbdftH4|Contact (feat. Tyga)|2020-03-23|day|1|album|spotify:album:25CfSiH8FAG9802wbdftH4
album|https://api.spotify.com/v1/albums/0h8gzYOChHoUjn3xt4mDsS|0h8gzYOChHoUjn3xt4mDsS|H.F.M. 2 (Hunger For More 2)|2010-01-01|day|13|album|spotify:album:0h8gzYOChHoUjn3xt4mDsS
album|https://api.spotify.com/v1/albums/4FXUAkRNHIcSrxI6PswKUa|4FXUAkRNHIcSrxI6PswKUa|La Verdadera Maquina|2011-11-15|day|16|album|spotify:album:4FXUAkRNHIcSrxI6PswKUa
single|https://api.spotify.com/v1/albums/0DMvfJWc1DjSbmnJF1NW1o|0DMvfJWc1DjSbmnJF1NW1o|No Stylist|2018-09-20|day|3|album|spotify:album:0DMvfJWc1DjSbmnJF1NW1o
album|https://api.spotify.com/v1/albums/6mGDfbDErYIJsmSewvccWm|6mGDfbDErYIJsmSewvccWm|Meet The Orphans|2010-01-01|day|14|album|spotify:album:6mGDfbDErYIJsmSewvccWm
album|https://api.spotify.com/v1/albums/1ea94ndh0AW6j2aWOld9kw|1ea94ndh0AW6j2aWOld9kw|Alto Rango|2016-10-21|day|15|album|spotify:album:1ea94ndh0AW6j2aWOld9kw
single|https://api.spotify.com/v1/albums/13bddABWHCEtgRwGWmEiAT|13bddABWHCEtgRwGWmEiAT|Camry 3.5|2021-01-01|day|1|album|spotify:album:13bddABWHCEtgRwGWmEiAT
album|https://api.spotify.com/v1/albums/7CKHPPrMD8WHybUhrykhjk|7CKHPPrMD8WHybUhrykhjk|Los De La Nazza the Collection, Vol. 1|2013-11-18|day|13|album|spotify:album:7CKHPPrMD8WHybUhrykhjk
single|https://api.spotify.com/v1/albums/4RWSm53DnTDyQfiYUKWlnt|4RWSm53DnTDyQfiYUKWlnt|Used To Be (Rasster Remix)|2020-08-07|day|1|album|spotify:album:4RWSm53DnTDyQfiYUKWlnt
album|https://api.spotify.com/v1/albums/02Mp4Q83TVhpe8VeCpMZjZ|02Mp4Q83TVhpe8VeCpMZjZ|Beast Mode|2015-01-15|day|8|album|spotify:album:02Mp4Q83TVhpe8VeCpMZjZ
album|https://api.spotify.com/v1/albums/17FBoXK1NU2rvJBbzdzw0r|17FBoXK1NU2rvJBbzdzw0r|FUTURE|2017-06-30|day|20|album|spotify:album:17FBoXK1NU2rvJBbzdzw0r
